pile	volume	page	stratum	ja	en	fr	verdict	cause
base	Zeccho-02	DLRAW.CC_p_008	plain	やっ…やあ…っ♡	Hey there. ♡	Hé là. ♡	ok	
base	Yushapati-01	DLRAW.APP_006	katakana	勇者ハーティーは所属しているだけでも名誉なことだけど	It is an honor to be a hero, Harty, even if he belongs.	C'est un honneur d'être un héros, Harty, même s'il appartient.	wrong	ocr
base	Zeccho-01	DLRAW.CC_040	long	大丈夫…１人で立てるから…それに今…触られたら…マズいかも…	It's okay ... I can stand alone ... and now ... if I touch ... bad ...	C'est bon... Je peux me tenir seul ... et maintenant ... si je touche ... mauvais ...	ok	
base	Yushapati-05	DLRAW.APP_0026	plain	もつとも闇属性魔法に限った話じゃがな	It is a story limited to dark character magic.	C'est une histoire limitée à la magie du caractère sombre.	degraded	ja-en
base	Yushapati-01	DLRAW.APP_031	plain	なんかごめんね…巻き込んじゃって	I'm sorry, but I'm getting involved.	Je suis désolé, mais je m'en mêle.	ok	
base	Sekai-01	DLRAW.NET-0015	tiny	いるし！	there you are!	Vous êtes là !	ok	
base	Isekai-01	DLRAW.TO-Met_121	katakana	だめですよマリーダ様	No, Mary.	Non, Mary.	wrong	ja-en
base	Sekai-01	DLRAW.NET-0030	plain	さっそくみんなに知らせなきゃ！	I need to let everyone know right away!	Je dois le faire savoir à tout le monde tout de suite !	ok	
base	Zeccho-02	DLRAW.CC_p_025	plain	これまでにないくらい身体が楽になったんです	it's never been easier on my body.	Ça n'a jamais été aussi facile sur mon corps.	ok	
base	Yushapati-05	DLRAW.APP_0040	plain	まったく魔力が感じられない	I can't feel the magic at all.	Je ne sens pas la magie du tout.	ok	
base	Isekai-01	DLRAW.TO-Met_112	long	ぜひとも商工組合でやらせて頂きます！長年の紛争が解消に向かいます！	I will do it in the commercial union!Years of conflict are coming to an end!	Je le ferai dans l'union commerciale! Des années de conflit prennent fin!	ok	
base	Isekai-01	DLRAW.TO-Met_103	plain	今日の鍛錬はどの隊が倉庫から多く物資を運び出せるかでくす！	Today's training will determine which team can carry a lot of supplies from the warehouse!	La formation d'aujourd'hui déterminera quelle équipe peut transporter beaucoup de fournitures de l'entrepôt!	ok	
base	Yushapati-01	DLRAW.APP_015	plain	紹介するわねえーと……	I'll show you, and...	Je vais te montrer, et...	ok	
base	Isekai-01	DLRAW.TO-Met_128	plain	こいつかああああ…	This guy, yeah...	Ce type, ouais...	ok	
base	Yushapati-05	DLRAW.APP_0008	plain	本日はお集まり頂きありがとうございます	Thank you for coming to the meeting today.	Merci d'être venu à la réunion aujourd'hui.	ok	
base	Yushapati-05	DLRAW.APP_0018	plain	少なくともお前の連れよりは優秀だろ	Or at least better than your partner.	Ou du moins mieux que votre partenaire.	ok	
base	Zeccho-02	DLRAW.CC_p_040	plain	でも…なるほどねお年寄りからの愛されキャラってとこか…	But ... I see, it is a beloved character from an elderly ...	Mais... Je vois, c'est un personnage bien-aimé d'un vieux ...	ok	
base	Sekai-01	DLRAW.NET-0010	plain	一般的に男性が	Men generally	Les hommes en général	ok	
base	Yushapati-05	DLRAW.APP_0045	tiny	いえ…	no, no, no.	Non, non, non.	ok	
base	Otome-Game-01	DLRAW.TO_p_020	plain	そうか…やっぱりダメだ…！	well, i don't know...!	Eh bien, je ne sais pas...!	wrong	ja-en
base	Yushapati-01	DLRAW.APP_018	plain	S……！最高ランクだったとは	S . . . !it was the highest rank.	S . . . !c'était le plus haut rang.	ok	
base	Sekai-01	DLRAW.NET-0034	tiny	田端弘則	Hironori Tabata	Hironori Tabata	ok	
base	Isekai-01	DLRAW.TO-Met_103	tiny	…翌日	...the next day	...le lendemain	ok	
base	Isekai-01	DLRAW.TO-Met_116	katakana	マリーダと俺は女の好みが一緒だからね	Marieda and I have the same preferences.	Marieda et moi avons les mêmes préférences.	ok	
base	Yushapati-05	DLRAW.APP_0041	plain	ごめんね流石に会わせてもらうのは無理よね	i'm sorry. i can't let you meet me at the drift stone.	Je suis désolé, je ne peux pas te laisser me rencontrer à la pierre de dérive.	wrong	ja-en
base	Isekai-01	DLRAW.TO-Met_118	plain	ちつ違います濡れてなんか…	It's different. It's got wet.	C'est différent. Il est mouillé.	ok	
base	Yushapati-01	DLRAW.APP_023	plain	それなら…	then...	Alors...	ok	
base	Isekai-01	DLRAW.TO-Met_05	plain	神殿騎士団は何をしてる！	What are the Knights of the Temple doing?	Que font les Chevaliers du Temple ?	ok	
base	Zeccho-01	DLRAW.CC_009	tiny	ですが…	but...	Mais...	ok	
base	Yushapati-05	DLRAW.APP_0034	plain	いったい何をしておるのか…	What are you doing...	Qu'est-ce que tu fais...	ok	
base	Zeccho-01	DLRAW.CC_032	plain	はあ？なんで俺が…	huh?why am i...	hein ?pourquoi suis-je...	ok	
base	Isekai-01	DLRAW.TO-Met_11	plain	実際に半年前俺の使用人も毒牙にかかりかけた	In fact, six months ago, my servants were poisoned.	En fait, il y a six mois, mes serviteurs ont été empoisonnés.	ok	
base	Isekai-01	DLRAW.TO-Met_09	tiny	人ul	人 ul	人 ul	wrong	ocr
base	Isekai-01	DLRAW.TO-Met_129	plain	この村は本当は農作物がたんまり採れるらしいの	This village is actually very much able to harvest crops.	Ce village est en fait très capable de récolter des récoltes.	ok	
base	Isekai-01	DLRAW.TO-Met_108	katakana	戦場のコンビニと言われる彼らの機嫌は取っておくべきだからね	They're called the convenience stores on the battlefield, and they should keep their mood.	On les appelle les dépanneurs sur le champ de bataille, et ils devraient garder leur humeur.	ok	
base	Zeccho-01	DLRAW.CC_025	plain	それにしてもこの家を掃除かあずいぶんと大変そうな…	Cleaning this house is very difficult...	Le nettoyage de cette maison est très difficile...	ok	
base	Zeccho-01	DLRAW.CC_031	plain	効能の高い温泉を保有してるかどうかで宿の格が変わるの	The rank of the inn changes depending on whether you have a hot spring with high efficacy	Le rang de l'auberge change selon que vous avez une source chaude avec une efficacité élevée	ok	
base	Sekai-01	DLRAW.NET-0030	plain	田端様…いえ	no, tabatasama.	Non, tabatasama.	ok	
base	Isekai-01	DLRAW.TO-Met_113	plain	彼女は…？	She is...?	Elle est... ?	ok	
base	Yushapati-05	DLRAW.APP_0045	tiny	のか？	what?	Quoi ?	ok	
base	Isekai-01	DLRAW.TO-Met_107	plain	待て待て俺の方が！	Wait, wait, wait, wait, wait, wait, wait, wait, wait,	Attends, attends, attends, attends, attends, attends, attends, attends,	wrong	ja-en
base	Isekai-01	DLRAW.TO-Met_116	plain	夜のお勤めでは必ず着用するのじゃ！	Be sure to wear it at night!	Assurez-vous de le porter la nuit!	ok	
base	Isekai-01	DLRAW.TO-Met_100	plain	鬼人族の方たちはいくさの時しか利用しませんので…	The devils only use it when they are...	Les diables ne l'utilisent que lorsqu'ils sont...	degraded	ja-en
base	Yushapati-05	DLRAW.APP_0023	plain	私も賛成です	i agree.	Je suis d'accord.	ok	
base	Isekai-01	DLRAW.TO-Met_113	plain	我が娘ながら器量もよく	As a daughter, she has a good level of strength.	En tant que fille, elle a un bon niveau de force.	wrong	ja-en
base	Otome-Game-01	DLRAW.TO_p_034	plain	酷いセリフですね	that's a terrible line.	C'est une ligne terrible.	ok	
base	Zeccho-01	DLRAW.CC_037	plain	体力も魔力も回復していってる…？	Are you recovering physically and yam?	Vous vous rétablissez physiquement et l'igname ?	wrong	ja-en
base	Sekai-01	DLRAW.NET-0007	plain	接触すると	when you come into contact	lorsque vous entrez en contact	ok	
base	Yushapati-05	DLRAW.APP_0018	katakana	セリオン！俺は貴様の参加こそ認めていない！	Serion!I do not recognize your participation!	Serion!Je ne reconnais pas votre participation!	ok	
base	Isekai-01	DLRAW.TO-Met_116	plain	承知しまし…んっ…！	I know. . . . !	Je sais. . . . !	ok	
base	Isekai-01	DLRAW.TO-Met_11	plain	世間でも馬鹿王子と名高かったのだが	He was known as a stupid prince.	Il était connu comme un prince stupide.	ok	
base	Otome-Game-01	DLRAW.TO_p_019	katakana	世かい世界の危機に相応しいラスボスよ	Russs, worthy of the crisis of the world.	Russs, digne de la crise du monde.	wrong	ja-en
base	Sekai-01	DLRAW.NET-0012	plain	その亜人女性たち全員のお相手をして頂きます	I will deal with all of these sub-women.	Je m'occuperai de toutes ces sous-femmes.	degraded	ja-en
base	Zeccho-01	DLRAW.CC_023	plain	両親も亡くなってから経営もできなくて放置してるの…	My parents have been unable to manage my business since they died.	Mes parents n'ont pas pu gérer mon entreprise depuis leur mort.	degraded	ja-en
base	Sekai-01	DLRAW.NET-0024	plain	おかしいだる!	it's crazy!	C'est fou !	ok	
base	Otome-Game-01	DLRAW.TO_p_011	plain	何も考えてない人達は羨ましいですね	I envy people who don’t think about it.	J’envie les gens qui n’y pensent pas.	ok	
base	Zeccho-02	DLRAW.CC_p_017	tiny	よし…	All right.	Très bien.	ok	
base	Zeccho-01	DLRAW.CC_030	tiny	ほら	Hey, hey.	Hé, hé.	ok	
base	Sekai-01	DLRAW.NET-0023	plain	あなたのも…	yours too.	Le vôtre aussi.	ok	
base	Otome-Game-01	DLRAW.TO_p_019	dialect	バッドエンドなら世かい世界が滅びちゃうわね	If it is a bad end, the world will be destroyed.	Si c'est une mauvaise fin, le monde sera détruit.	ok	
base	Yushapati-05	DLRAW.APP_0016	plain	それに聞いているぞ？	And you're listening to that?	Et vous écoutez ça ?	ok	
base	Sekai-01	DLRAW.NET-0017	tiny	泣いた	I cried.	J'ai pleuré.	ok	
base	Zeccho-02	DLRAW.CC_p_027	plain	ちょっと待った！何勝手にいい感じに	Wait a minute!How much of a good feeling.	Attendez une minute! Combien de bon sentiment.	wrong	ja-en
base	Zeccho-02	DLRAW.CC_p_031	plain	どいののか？	how's it going?	Comment ça va ?	degraded	ocr
base	Sekai-01	DLRAW.NET-0020	plain	気にしない	I don't care.	Je m'en fiche.	ok	
base	Yushapati-01	DLRAW.APP_014	tiny	あなた…	you...	vous...	ok	
base	Sekai-01	DLRAW.NET-0005	plain	天使族初めて見た…	This is the first time I have seen an angel...	C'est la première fois que je vois un ange...	ok	
base	Zeccho-01	DLRAW.CC_004	plain	73ペ-ジ	73Peg	73Peg	wrong	ocr
base	Sekai-01	DLRAW.NET-0020	katakana	結構ガッツリ	Pretty gutsy.	Plutôt gutsy.	degraded	en-fr
base	Zeccho-02	DLRAW.CC_p_041	plain	さぞこの宿でも迷惑をかけているんでしょうね…	I guess you are causing trouble in this inn too...	Je suppose que vous causez des ennuis dans cette auberge aussi...	ok	
base	Isekai-01	DLRAW.TO-Met_08	plain	「叡智の至宝」と称されるほどになった	"It has become so popular that it has been called ""the treasure of wisdom""."	"Il est devenu si populaire qu'on l'a appelé ""le trésor de la sagesse""."	ok	
hard	Zeccho-01	DLRAW.CC_014	dialect	案外かわいいかも？	Could it be cute?	Ça pourrait être mignon ?	ok	
hard	Zeccho-02	DLRAW.CC_p_024	dialect	せめて話だけでも聞いてやろうぜ	At least let's just talk.	Au moins, parlons.	ok	
hard	Zeccho-02	DLRAW.CC_p_028	dialect	ハクさんがかわいそうですよオラリアさん！	I feel sorry for you, Mr. Oralia!	Je suis désolé pour vous, M.. Oralia !	wrong	ja-en
hard	Zeccho-02	DLRAW.CC_p_039	dialect	うちの孫みたいでかわいいわぁ	Like my granddaughter, she's cute.	Comme ma petite-fille, elle est mignonne.	ok	
hard	Zeccho-01	DLRAW.CC_039	dialect	イっちゃうー♡	I'll be. ♡	Je le serai. ♡	degraded	ja-en
hard	Yushapati-05	DLRAW.APP_0035	dialect	さすがは王都イシュタルとは比べ物にならない賑わいようだ	As expected, it seems to be a hustle and bustle that can not be compared to the royal city Ishtar	Comme prévu, il semble être une agitation qui ne peut pas être comparée à la ville royale Ishtar	ok	
hard	Sekai-01	DLRAW.NET-0016	dialect	好きてもない人とてきちゃう感じが正直ないな…と	I don't feel like I'm coming to anyone who doesn't like it, but honestly ...	Je n'ai pas l'impression de venir à quelqu'un qui n'aime pas ça, mais honnêtement...	degraded	ocr
hard	Sekai-01	DLRAW.NET-0037	dialect	弘則様…あ…いえ田端様は女性に免疫がないらしくてすぐ気絶しちゃうと思います	Hironori-sama ... Oh ... No, I think that Tabata-sama will faint immediately because he seems to be immune to women	Hironori-sama... Oh... Non, je pense que Tabata-sama va s'évanouir immédiatement parce qu'il semble être immunisé contre les femmes	ok	
hard	Sekai-01	DLRAW.NET-0017	dialect	ちゃんとできるか不安で…でも任されたからには一生懸命やろうって思って…	I'm worried about whether I can do it properly ... but I thought that I would do my best because I was in charge ...	Je m'inquiète de savoir si je peux le faire correctement ... mais je pensais que je ferais de mon mieux parce que j'étais responsable ...	ok	
hard	Sekai-01	DLRAW.NET-0003	dialect	かわいい	Cute	Mignon	ok	
hard	Sekai-01	DLRAW.NET-0038	dialect	大勢の生徒に見られているあの竜人の子危なっかしいなてもあんなかわいい子見たことないよ七〇クスがどうとか言ってたよな	I've never seen that dragon's son in danger, but I've never seen such a cute child, and I've been told what 70s are saying.	Je n'ai jamais vu le fils de ce dragon en danger, mais je n'ai jamais vu un enfant aussi mignon, et on m'a dit ce que les années 70 disent.	degraded	ocr
hard	Sekai-01	DLRAW.NET-0011	dialect	魔王が復活しちゃうっぽいんです	It looks like Satan will be resurrected.	Il semble que Satan sera ressuscité.	degraded	ja-en
hard	Yushapati-01	DLRAW.APP_039	katakana	ねえねえトラウマって何～？	Hey, hey, what is trauma?	Hé, hé, qu'est-ce que le traumatisme ?	ok	
hard	Isekai-01	DLRAW.TO-Met_118	katakana	アルベルト準備はできたようじゃぞ！	Alberto, you're ready!	Alberto, tu es prêt !	ok	
hard	Otome-Game-01	DLRAW.TO_p_014	katakana	俺の平穏なモブライフを脅かす…	Threatening my peaceful Mob life...	Menaçant ma vie de foule paisible...	wrong	ja-en
hard	Yushapati-01	DLRAW.APP_018	katakana	冒険者は登録されているハーティーでしか活動できないから他のハーティーから人を借りることもできないしね…	Adventurers can only work with registered hirty, so they can't borrow people from other hirties.	Les aventuriers ne peuvent travailler qu'avec une embauche enregistrée, de sorte qu'ils ne peuvent pas emprunter des gens à d'autres tranches.	wrong	ocr
hard	Sekai-01	DLRAW.NET-0044	katakana	バレバレだから	it's a revelation.	C'est une révélation.	wrong	ja-en
hard	Isekai-01	DLRAW.TO-Met_119	katakana	・アルヘルド様いい自いかする…	Al-Held, you have to be good to yourself...	Al-Held, tu dois être bon avec toi-même...	degraded	ocr
hard	Yushapati-01	DLRAW.APP_028	katakana	良ければ正式に私たちのハーティーに入らない？	Would you like to officially join our herty?	Voulez-vous officiellement rejoindre notre herty?	wrong	ocr
hard	Otome-Game-01	DLRAW.TO_p_008	katakana	この船…アインホルンは世んいん船員なんかいらねーんだよ	this ship ... einhorn doesn't want a world of sailors.	ce vaisseau... einhorn ne veut pas d'un monde de marins.	wrong	ocr
hard	Isekai-01	DLRAW.TO-Met_07	katakana	…お前が叡智の至宝」と名高いアルベルトか？	"Are you the supreme treasure of wisdom?"""	Êtes-vous le trésor suprême de la sagesse ? »	degraded	ja-en
