book	page	block	source	repairs	grouped_source	phrasebook	seam	output	error_category	expected_fr	acceptable_fr	severity	notes
0P1J8B3CXB8QF	88	24	Fin.				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	88	25	Off and it's mission complete.				NO_ELLIPSIS	Et c'est la mission terminée.					
0P1J8B3CXB8QF	88	32	Hold it!				NO_ELLIPSIS	Tiens-le !					
0P1J8B3CXB8QF	88	36	Amazing! I never could've thought up such a splendid scheme!				NO_ELLIPSIS	Incroyable ! Je n'aurais jamais pu penser à un projet aussi splendide !					
0P1J8B3CXB8QF	88	44	"Like an elaborate, romantic ""liar game""!"				NO_ELLIPSIS	"Comme un ""jeu menteur"" élaboré et romantique!"					
0P1J8B3CXB8QF	88	50	The others wouldn't see it happen!				NO_ELLIPSIS	Les autres ne le verraient pas arriver !					
0P1J8B3CXB8QF	88	51	What do we do if someone cheats and takes off the blindfold or whatever?				NO_ELLIPSIS	Que faire si quelqu'un triche et enlève le bandeau ou quoi que ce soit?					
0P1J8B3CXB8QF	88	55	Ah, but that's the beauty of it.	CONFUSION:'BEALTY'>'BEAUTY'			NO_ELLIPSIS	Ah, mais c'est la beauté de ça.					
0P1J8B3CXB8QF	88	57	I've got a special solution for just that problem!	CONFUSION:'SOLLTION'>'SOLUTION'			NO_ELLIPSIS	J'ai une solution spéciale pour ce problème !					
0P1J8B3CXB8QF	88	60	Yeah?				NO_ELLIPSIS	Oui ?					
0P1J8B3CXB8QF	88	76	Yup.					(dropped)					
0P1J8B3CXB8QF	89	0	Logic stocks are crashing! Sell, sell, sell!				NO_ELLIPSIS	Les stocks logiques s'effondrent ! Vendez, vendez, vendez !					
0P1J8B3CXB8QF	89	4	We all pinky promise not to cheat.				NO_ELLIPSIS	Nous promettons tous de ne pas tricher.					
0P1J8B3CXB8QF	89	12	Why would anyone not keep a pinky promise?				NO_ELLIPSIS	Pourquoi quelqu'un ne tiendrait-il pas une promesse rose ?					
0P1J8B3CXB8QF	89	13	How're we				NO_ELLIPSIS	Comment on est					
0P1J8B3CXB8QF	89	19	Caey Breo-				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	89	23	Ken.				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	89	26	You're way too wholesome!!				NO_ELLIPSIS	Vous êtes trop sain !!					
0P1J8B3CXB8QF	89	29	Twang!				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	89	31	I swear on my life, this promise will not be broken!!				NO_ELLIPSIS	Je jure sur ma vie, cette promesse ne sera pas brisée !!					
0P1J8B3CXB8QF	89	33	Cross my heart and hope to die!				NO_ELLIPSIS	Croise mon cœur et espère mourir !					
0P1J8B3CXB8QF	89	38	Stick a needle in my eye!				NO_ELLIPSIS	Mettez une aiguille dans mon œil !					
0P1J8B3CXB8QF	89	42	Okay, let's do it!					Ok, faisons-le !					
0P1J8B3CXB8QF	90	0	I will~				NO_ELLIPSIS	Je vais~					
0P1J8B3CXB8QF	90	3	All my~				NO_ELLIPSIS	Tout mon~					
0P1J8B3CXB8QF	90	4	Give you~ ba-oump #t:				NO_ELLIPSIS	Vous donner~ ba-oum #t:					
0P1J8B3CXB8QF	90	8	Looove!				NO_ELLIPSIS	L'amour !					
0P1J8B3CXB8QF	90	13	Evens... That means I'm starting at the left.				NO_ELLIPSIS	Les soirées... Ça veut dire que je commence à gauche.					
0P1J8B3CXB8QF	90	19	This feels almost illegal.				NO_ELLIPSIS	Cela semble presque illégal.					
0P1J8B3CXB8QF	90	30	This should bethe I think,	WORD_SPLIT:'ITHINK'>'I THINK'			NO_ELLIPSIS	Cela devrait être la mes pensée,					
0P1J8B3CXB8QF	90	33	Beinthe right spot				NO_ELLIPSIS	Beinthe le bon endroit					
0P1J8B3CXB8QF	90	38	But how ami supposed to tell where to put my face?	WORD_SPLIT:'HOWAMI'>'HOW AMI'			NO_ELLIPSIS	Mais comment ami a supposé dire où mettre mon visage ?					
0P1J8B3CXB8QF	90	40	Know.				NO_ELLIPSIS	Savoir.					
0P1J8B3CXB8QF	90	41	Ifiput my:hands on.Her shoulders...				NO_ELLIPSIS_START	Ifiput my:hands on.Ses épaules...					
0P1J8B3CXB8QF	90	49	Definitely don't wantito headbutt anyone.					Certainement ne veux pas de tête butt qui que ce soit.					
0P1J8B3CXB8QF	91	0	IT'S HAKARilin!				NO_ELLIPSIS	C'EST HAKARIlin !					
0P1J8B3CXB8QF	91	3	For the sake of inda karane's selfesteem, the reasoning behind this conclusion will be kept strictly confidential.	CONFUSION:'CONCLUISION'>'CONCLUSION'			NO_ELLIPSIS	Pour l'estime de soi d'inda karane, le raisonnement derrière cette conclusion sera strictement confidentiel.					
0P1J8B3CXB8QF	91	16	If you want even more...				NO_ELLIPSIS_START	Si vous voulez encore plus...					
0P1J8B3CXB8QF	91	19	I wouldn't mind, Rentaro-kun...				NO_ELLIPSIS_START	Ça ne me dérange pas, Rentaro-kun...					
0P1J8B3CXB8QF	91	25	S-stop... You're already the most precious thing in the world...	WORD_SPLIT:'THEMOST'>'THE MOST'				S-stop... Tu es déjà la chose la plus précieuse au monde...					
0P1J8B3CXB8QF	92	0	What went wrong? What'd I miss?				NO_ELLIPSIS	Qu'est-ce qui a mal tourné ? Qu'est-ce qui m'a manqué ?					
0P1J8B3CXB8QF	92	1	Jolt!!				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	92	6	Nothing... Big...				NO_ELLIPSIS_START	Rien... Grand...					
0P1J8B3CXB8QF	92	9	Sorry, Karane. We have to start over.				NO_ELLIPSIS	Désolé, Karane. Il faut recommencer.					
0P1J8B3CXB8QF	92	14	Yoink!!				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	92	16	Bluushh!H!				NO_ELLIPSIS	(dropped)					
0P1J8B3CXB8QF	92	17	Okay, fess up! What really happened				NO_ELLIPSIS	Ok, fess up ! Qu'est-ce qui s'est réellement passé					
0P1J8B3CXB8QF	92	19	Absolutely nothing				NO_ELLIPSIS	Absolument rien					
0P1J8B3CXB8QF	92	28	Thereset.				NO_ELLIPSIS	Assemblée.					
0P1J8B3CXB8QF	92	29	Yawn!					Bâille !					
100-girlfriends			Her cute cuteyclite cute cute facey-cute! Face isso closeyclose!	CONFUSION:'CLITE'>'CUTE' CONFUSION:'CLITE'>'CUTE'			NO_ELLIPSIS	Son mignon mignoncyclite mignon mignon mignon facey-cute! Face est si proche!	D			meaning_changed	deliberate babbling in the lettering; the repair fires on it and cannot help
100-girlfriends			I'm so sorry!!			BULK:'i'm so sorry'		Je suis tellement desole !!	E2		Je suis tellement desolee !!	awkward	speaker is female; a fixed table cannot agree in gender, the engine got it right by luck
100-girlfriends			If yol're looking for a snack, I brought bocky.				NO_ELLIPSIS	Si tu cherches une collation, j'ai apporte du bocky.	D			cosmetic	'you're' read as 'yol're'; the engine recovered anyway
100-girlfriends			Ifi don't stop her now, his first kiss'll get taken!				NO_ELLIPSIS	Si je ne l'arrete pas maintenant, son premier baiser sera pris !	D			awkward	'If I' run together as 'Ifi'
100-girlfriends			Like they say, you get better if you pass your cold to someone else!				NO_ELLIPSIS	Comme on dit, tu t'ameliores si tu passes ton froid a quelqu'un d'autre !	C		Comme on dit, on guerit en refilant son rhume a quelqu'un d'autre !	meaning_changed	'cold' read as temperature, 'get better' as self-improvement
100-girlfriends			The gamehad already begun!!				NO_ELLIPSIS	Le jeu avait deja commence !!	D	Le jeu avait deja commence !!		cosmetic	'game had' run together; the output happened to survive it
100-girlfriends			They're going fora hat trick!!				NO_ELLIPSIS	Ils vont pour un tour du chapeau !!	C		Ils visent le triple !|Ils tentent le coup du chapeau !	meaning_changed	'hat trick' rendered literally; also 'for a' run together
100-girlfriends			Whoeverkisses him first...				NO_ELLIPSIS_START	Celui qui le fait d'abord...	D	Celui qui l'embrasse en premier...		meaning_changed	'Whoever kisses' run together; the splitter missed it and the verb was lost
altered-carbon			Cofus cofus cofus				NO_ELLIPSIS	Cofus Cofus cofus	D			cosmetic	a cough drawn as lettering; recognised as words and left untranslated
blue-box	1	11	Neither of them...		Neither of them Are letting up!		JOINED	Aucun d'eux...					fixed 19/08: the ellipsis was read with a stray dot and the seam was missed
